datetime,gauge
1927-08,6950
1927-09,6935
1927-10,6917
1927-11,-99999
1927-12,-99999
1928-01,6627
1928-02,6734
1928-03,6789
1928-04,6777
1928-05,6911
1928-06,6838
1928-07,6819
1928-08,6896
1928-09,7020
1928-10,6877
1928-11,6755
1928-12,6780
1929-01,6643
1929-02,6841
1929-03,6768
1929-04,6889
1929-05,6752
1929-06,6911
1929-07,6828
1929-08,6902
1929-09,6978
1929-10,6880
1929-11,6853
1929-12,6752
1930-01,6825
1930-02,6795
1930-03,6728
1930-04,6789
1930-05,6801
1930-06,6768
1930-07,6828
1930-08,6908
1930-09,6880
1930-10,7014
1930-11,6804
1930-12,6835
1931-01,6746
1931-02,6771
1931-03,6972
1931-04,6816
1931-05,6828
1931-06,6920
1931-07,6899
1931-08,6938
1931-09,6963
1931-10,6917
1931-11,6798
1931-12,6777
1932-01,6862
1932-02,6862
1932-03,6749
1932-04,6832
1932-05,6850
1932-06,6846
1932-07,6841
1932-08,6856
1932-09,7008
1932-10,6899
1932-11,7045
1932-12,6862
1933-01,6905
1933-02,6764
1933-03,6822
1933-04,6984
1933-05,6944
1933-06,6996
1933-07,6996
1933-08,7036
1933-09,7069
1933-10,7060
1933-11,6816
1933-12,6813
1934-01,6792
1934-02,6774
1934-03,6819
1934-04,6889
1934-05,6877
1934-06,6877
1934-07,6862
1934-08,6871
1934-09,7017
1934-10,6987
1934-11,6841
1934-12,6795
1935-01,6859
1935-02,6786
1935-03,6810
1935-04,6975
1935-05,6868
1935-06,6902
1935-07,6844
1935-08,6941
1935-09,7002
1935-10,6944
1935-11,7109
1935-12,6862
1936-01,6789
1936-02,6868
1936-03,6889
1936-04,6832
1936-05,6841
1936-06,6908
1936-07,6926
1936-08,6868
1936-09,6993
1936-10,6960
1936-11,6813
1936-12,6853
1937-01,6944
1937-02,6990
1937-03,6825
1937-04,6956
1937-05,6923
1937-06,6905
1937-07,6956
1937-08,6862
1937-09,7039
1937-10,6990
1937-11,6908
1937-12,6871
1938-01,6886
1938-02,6899
1938-03,6874
1938-04,6914
1938-05,6966
1938-06,6932
1938-07,6838
1938-08,6896
1938-09,6960
1938-10,7097
1938-11,6938
1938-12,6880
1939-01,6828
1939-02,6844
1939-03,6929
1939-04,6896
1939-05,6956
1939-06,6953
1939-07,6935
1939-08,7002
1939-09,7045
1939-10,7008
1939-11,6975
1939-12,6807
1940-01,6856
1940-02,6950
1940-03,6896
1940-04,6920
1940-05,7024
1940-06,6981
1940-07,6947
1940-08,7075
1940-09,7066
1940-10,7054
1940-11,6908
1940-12,6899
1941-01,6996
1941-02,6871
1941-03,6822
1941-04,6956
1941-05,6917
1941-06,6950
1941-07,6938
1941-08,6935
1941-09,6984
1941-10,6923
1941-11,6853
1941-12,6862
1942-01,6838
1942-02,6841
1942-03,6871
1942-04,6914
1942-05,6908
1942-06,7011
1942-07,6960
1942-08,6993
1942-09,7091
1942-10,7112
1942-11,6956
1942-12,6844
1943-01,6877
1943-02,6801
1943-03,6865
1943-04,6877
1943-05,6886
1943-06,6920
1943-07,6929
1943-08,6963
1943-09,7060
1943-10,7051
1943-11,6908
1943-12,6792
1944-01,6871
1944-02,6841
1944-03,6941
1944-04,6929
1944-05,6905
1944-06,6990
1944-07,6923
1944-08,6920
1944-09,7027
1944-10,7072
1944-11,7091
1944-12,6792
1945-01,6874
1945-02,6838
1945-03,6896
1945-04,6941
1945-05,6975
1945-06,7002
1945-07,6996
1945-08,7039
1945-09,7106
1945-10,7042
1945-11,7054
1945-12,7066
1946-01,6920
1946-02,6843
1946-03,6969
1946-04,6978
1946-05,6981
1946-06,6966
1946-07,7017
1946-08,7063
1946-09,7109
1946-10,7088
1946-11,7030
